Welding Spot;FaultRate;AvgRisk;Count
84;8125;764375;16
73;6,31579E+14;5,79342E+15;19
60;3,57143E+16;32;14
138;3,33333E+15;2,16667E+16;3
103;2,35294E+16;2,08382E+16;17
10;2;1,81167E+16;15
120;25;179375;4
77;1,66667E+16;1,57222E+16;18
75;1,66667E+16;1,34306E+16;18
63;1,42857E+16;1325;14
7;1,33333E+16;13;15
121;1,33333E+16;1,20667E+16;15
104;1,42857E+16;1,19623E+16;14
114;1,33333E+16;9,73333E+15;15
9;1,42857E+16;9,62365E+15;14
118;9375;9,18715E+15;32
47;625;8828125;16
64;5,97015E+15;8,06998E+15;134
125;9,09091E+15;7,89603E+14;11
105;625;7125;32
66;7,14286E+15;7,08929E+15;14
93;7,14286E+15;6,07016E+15;14
30;625;5,85938E+15;16
92;7,14286E+15;5,80357E+15;14
62;7,14286E+15;5,42857E+15;14
4;7,14286E+15;5,28571E+15;14
52;7,14286E+15;5,23214E+16;14
67;7,14286E+15;5,17857E+15;14
34;7,14286E+15;5,10714E+15;14
1;625;4828125;16
78;5,26316E+15;4,78947E+15;19
156;0;4;1
153;0;3,625E+16;2
130;4,54545E+16;3,35227E+15;22
108;3,0303E+16;2,88636E+16;33
81;3,44828E+16;2,87069E+16;29
143;0;2,58333E+16;3
0;0;1,91176E+15;17
107;0;159375;32
31;0;1,51651E+16;14
139;0;14375;4
128;0;1,36049E+15;11
137;0;1,33333E+16;3
76;0;1,23214E+15;14
94;0;1,08929E+16;14
123;0;1,07218E+16;11
90;0;1,03571E+16;14
5;0;1,03571E+16;14
146;0;1;3
101;0;9,85294E+15;17
3;0;8,90178E+15;14
111;0;8,75E+15;14
21;0;8,70224E+15;14
127;0;8,61111E+15;9
91;0;8,39286E+15;14
16;0;8,03571E+15;14
110;0;7,98387E+15;31
43;0;7,03125E+15;16
6;0;6,96429E+16;14
132;0;625;2
129;0;6;10
124;0;5,21206E+15;11
100;0;5,17857E+15;14
150;0;5;1
45;0;5;17
149;0;5;1
13;0;4,66667E+15;15
117;0;4,61538E+15;13
79;0;4,46429E+15;14
59;0;4,33333E+15;15
71;0;4,28571E+15;14
32;0;4,28571E+15;14
35;0;4,28571E+15;14
97;0;4,16667E+15;15
126;0;4,16315E+14;11
85;0;4,10714E+15;14
113;0;4,10714E+15;14
48;0;3,92857E+15;14
2;0;390625;16
37;0;3,75E+16;16
82;0;3,75E+16;14
54;0;375;14
136;0;375;2
86;0;35;15
19;0;3,38105E+16;14
148;0;3,33333E+16;3
11;0;3,21429E+16;14
95;0;3,21429E+16;14
142;0;3125;4
58;0;3,03571E+15;14
41;0;2,99847E+15;14
40;0;2,85035E+15;14
106;0;2,82258E+14;31
61;0;2,67857E+15;14
23;0;2,67698E+15;14
14;0;2,64054E+15;14
144;0;25;3
140;0;25;4
29;0;25;14
151;0;25;2
102;0;2,32143E+16;14
12;0;2,28112E+16;14
56;0;2,16667E+16;15
68;0;2,13077E+15;14
42;0;2,06671E+15;14
24;0;1,95528E+15;14
44;0;1,94444E+16;18
122;0;1,92308E+16;13
131;0;1,84783E+15;23
69;0;1,78571E+16;14
147;0;1,66667E+16;3
145;0;1,66667E+16;6
89;0;1,66667E+16;15
115;0;1,65627E+15;15
99;0;15625;16
46;0;1,55642E+15;16
119;0;1,53846E+16;13
49;0;1,53846E+16;13
8;0;1,42857E+16;14
26;0;1,40394E+16;14
135;0;1,34878E+16;37
154;0;125;2
157;0;125;2
109;0;1,08034E+16;30
18;0;8,92857E+15;14
27;0;8,92857E+15;14
50;0;8,92857E+15;14
22;0;8,511E+15;14
112;0;8,33333E+15;15
36;0;7,14286E+15;14
72;0;7,14286E+15;14
39;0;7,12336E+15;14
116;0;7,06481E+15;6
87;0;6,89655E+15;29
57;0;6,66667E+15;15
141;0;625;4
80;0;5,35714E+15;14
25;0;5,35714E+15;14
15;0;5,35714E+15;14
74;0;5,35714E+15;14
17;0;5,35714E+15;14
38;0;5,35714E+15;14
33;0;3,57143E+16;14
55;0;3,57143E+16;14
98;0;3,57143E+16;14
70;0;3,57143E+16;14
83;0;3,44828E+15;29
20;0;1,78571E+16;14
28;0;1,78571E+16;14
51;0;1,78571E+16;14
53;0;1,78571E+16;14
65;0;1,78571E+16;14
96;0;84745762712;59
88;0;0;15
134;0;0;2
133;0;0;22
152;0;0;2
155;0;0;1
